scenario_id,design,K,mu_max,rho,arrival_scv,mean_jump_fraction,tau,qH,beta,jump_cv,cloud_cost_multiplier,deactivation_mean,lambda_H,lambda_L,mean_H,mean_L,cv_H,cv_L,cW,cB,cL,cC,policy_count,diffusion_best_idx,exhaustive_train_idx,holdout_oracle_idx,single_train_idx,selection_idx,final_idx,selection_candidate_count,certified,fallback,certificate_stage_reps,certificate_ambiguous_count,certificate_simulation_count,algorithm_simulation_count,exhaustive_simulation_count,work_reduction,holdout_regret_vs_exhaustive,holdout_regret_vs_oracle,hysteresis_gain_vs_best_single,adaptive_gain_vs_best_single,exhaustive_holdout_objective,adaptive_holdout_objective,single_holdout_objective,selected_alpha_on,selected_alpha_off,exhaustive_alpha_on,exhaustive_alpha_off,pareto_count,distinct_weight_optima,robust_idx,robust_max_additive_regret,equal_weight_idx,elapsed_seconds,group,oracle_hysteresis_gain_vs_single,holdout_oracle_all,holdout_oracle_single,selected_is_strict_hysteresis,exhaustive_is_strict_hysteresis,exact_match_exhaustive
R03,lhs,70.59748964826045,211.79246894478135,0.75,1.0,0.075,1.0,0.5931393062049324,1.3599456688054614,0.8778319414100942,3.251089722114889,0.2934308874996459,15.473199292302585,14.359789192767094,6.0890334821624625,4.500589965076603,0.8778319414100942,0.8778319414100942,1.0,10.0,2.5,0.25,190,0,1,1,0,0,0,33,1,0,15,0,246,540,3830,0.8590078328981723,0.00029444547132495276,0.00029444547132495276,-0.0031759199496343192,-0.0034713005562057326,2.312304821518256,2.3129856692012747,2.3049843756560144,3.529874482413023,3.529874482413023,7.059748964826046,3.529874482413023,116,5,166,0.6217062051141409,1,15.970698356628418,development,0.00029435879870972807,2.312304821518256,2.3129856692012747,0,1,0
R06,lhs,66.48482474595114,199.45447423785345,0.75,4.0,0.075,1.0,0.7092807540417254,0.8175159453081753,1.3144669734464547,0.3093408500863894,0.3231960083184443,18.50297619239284,10.260679269115576,5.734316134338285,4.238407577554385,1.3144669734464547,1.3144669734464547,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,34,1,0,10,0,244,546,3830,0.8574412532637076,0.0,0.0,0.0033431540782428598,0.0033431540782428598,1.1374965977936264,1.1374965977936264,1.141312180263623,3.3242412372975574,3.3242412372975574,3.3242412372975574,3.3242412372975574,153,6,140,0.48121383988109523,0,15.300248384475708,development,0.0,1.1374965977936264,1.1374965977936264,0,0,1
R07,lhs,46.098822108503,138.29646632550902,0.75,1.0,0.075,1.0,0.660125919837223,0.6434876162608449,1.6305813729403071,2.6662603487048795,0.6842565644082327,17.220676169666692,11.995555770450956,3.976023406858383,2.938799909417066,1.6305813729403071,1.6305813729403071,1.0,10.0,2.5,0.25,190,0,146,150,15,146,146,52,1,0,10,0,417,863,3830,0.7746736292428198,0.0,0.000311555206715832,0.005527348253151913,0.005527348253151913,0.7141029440485815,0.7141029440485815,0.7180719779414938,39.18399879222755,25.35435215967665,39.18399879222755,25.35435215967665,128,6,71,0.4518259097747037,1,14.905978441238403,development,0.005575641644469345,0.7138805308522215,0.7178831902637204,1,1,1
R08,lhs,79.04219540629953,237.12658621889858,0.75,4.0,0.075,1.0,0.6191046283795881,0.9519644612411616,0.7707936245567851,3.691240630319027,1.9851453043586467,16.150555522945776,13.443366057191009,6.817389353793334,5.0389399571515945,0.7707936245567851,0.7707936245567851,1.0,10.0,2.5,0.25,190,0,0,0,0,1,1,34,1,0,15,0,249,551,3830,0.856135770234987,0.004241628380113157,0.004241628380113157,0.007313586439722113,0.0031029795754120917,1.7316696625204528,1.7390147617059806,1.7444276851838896,7.904219540629953,3.9521097703149763,3.9521097703149763,3.9521097703149763,145,3,72,0.5005939819418855,0,15.805574417114258,development,0.0,1.7316696625204528,1.7316696625204528,1,0,0
R12,lhs,33.01735138523294,99.05205415569883,0.75,4.0,0.075,1.0,0.2545654232021536,1.3291356969345465,1.2053967218558521,1.1871709617442066,1.307508097741008,6.640837127012703,26.309455651688697,2.847746556976341,2.1048561508086,1.2053967218558521,1.2053967218558521,1.0,10.0,2.5,0.25,190,0,3,1,0,0,0,32,0,1,20,2,640,926,3830,0.75822454308094,0.0,7.285287611983575e-05,-0.028597422199839996,-0.016892617378641908,1.36665434443418,1.351102660155764,1.3286581464605898,1.6508675692616472,1.6508675692616472,4.9526027077849415,1.6508675692616472,118,7,84,0.43826725713258363,1,16.251747608184814,development,7.284756896491833e-05,1.3510042356115497,1.351102660155764,0,1,0
R13,lhs,72.51141962371166,217.53425887113497,0.75,1.0,0.075,1.0,0.3166789895015572,1.033826919805553,1.7994718580025868,1.4115318549489342,0.7369446421275411,8.261191030475405,24.11721213523916,6.25410994254513,4.622603001011618,1.7994718580025868,1.7994718580025868,1.0,10.0,2.5,0.25,190,0,1,0,0,1,1,35,1,0,20,0,358,668,3830,0.8255874673629243,0.0,0.017367353184456383,-0.01121940167025113,-0.01121940167025113,0.7968892438127718,0.7968892438127718,0.7880478187983083,7.2511419623711655,3.625570981185583,7.2511419623711655,3.625570981185583,112,6,82,0.43151481562345073,0,15.691182613372803,development,0.0,0.7832856453653961,0.7832856453653961,1,1,1
R17,lhs,40.2317973189763,120.69539195692889,0.75,1.0,0.075,1.0,0.3963796254801158,0.883270566806525,0.8666888824965875,2.359739645835791,1.7029722235192941,10.34033805600302,21.3042485124665,3.469992518761705,2.5647770790847386,0.8666888824965875,0.8666888824965875,1.0,10.0,2.5,0.25,190,0,0,1,0,0,3,32,0,1,20,5,640,926,3830,0.75822454308094,0.011650754853624667,0.018284413794168022,0.005425402755618348,-0.00616214206051843,0.7985620478110408,0.8078658984654957,0.80291820243909,6.034769597846445,2.011589865948815,2.011589865948815,2.011589865948815,88,4,49,0.3833332118924248,1,16.01761817932129,development,0.006514544316578586,0.793359779961038,0.7985620478110408,1,0,0
R18,lhs,76.54591196947717,229.63773590843152,0.75,4.0,0.075,1.0,0.7723641679052877,1.2657516134730886,1.5336223384973935,2.16257905236481,0.7816495236269334,20.148630467094467,8.034205838636906,6.602084907367405,4.879801888054169,1.5336223384973935,1.5336223384973935,1.0,10.0,2.5,0.25,190,0,1,0,0,1,1,37,1,0,6,0,219,545,3830,0.8577023498694517,0.0,0.003198982522553927,-0.0037629989875712293,-0.0037629989875712293,1.9865239529904613,1.9865239529904613,1.9790766894118785,7.654591196947717,3.827295598473859,7.654591196947717,3.827295598473859,159,4,77,0.49914151319996514,0,15.785888910293579,development,0.0,1.980189361830618,1.980189361830618,1,1,1
R20,lhs,62.339896125104374,187.01968837531314,0.75,4.0,0.075,1.0,0.2074354851550373,1.376384577519481,0.5684313515045001,0.4887392468000294,1.8605852987453282,5.411360482305322,27.97286522982222,5.376816040790252,3.9741683779754036,0.5684313515045001,0.5684313515045001,1.0,10.0,2.5,0.25,190,0,0,0,0,1,0,32,0,1,20,2,640,926,3830,0.75822454308094,0.0,0.0,-0.02260839503527646,-0.02260839503527646,1.4742590486500937,1.4742590486500937,1.4416653098170946,3.116994806255219,3.116994806255219,3.116994806255219,3.116994806255219,116,7,61,0.4481051206872033,0,14.825132369995117,development,0.0,1.4742590486500935,1.4742590486500935,0,0,1
R22,lhs,31.889274878764784,95.66782463629436,0.75,4.0,0.075,1.0,0.6789476388255714,0.7884968631318894,0.64309575480216,1.772854851321735,1.7142464739087058,17.711677534580126,11.331259806156304,2.7504499582934625,2.032941273521255,0.64309575480216,0.64309575480216,1.0,10.0,2.5,0.25,190,0,0,0,0,3,3,35,1,0,15,0,303,613,3830,0.8399477806788511,0.024521401972003715,0.024521401972003715,0.00048666408666667746,-0.024022804199642547,1.33762369144162,1.3704240996667354,1.338274981813353,4.783391231814718,1.5944637439382392,1.5944637439382392,1.5944637439382392,163,4,83,0.505661558610706,0,15.88777232170105,development,0.0,1.33762369144162,1.33762369144162,1,0,0
R23,lhs,54.54610720468429,163.63832161405287,0.75,1.0,0.075,1.0,0.5527248325405603,0.6845680546725874,0.5083616139029571,0.3586897728982178,1.1076305893414546,14.418908674971139,15.786182380921401,4.70460174640402,3.4773143342986237,0.5083616139029571,0.5083616139029571,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,32,0,1,20,2,640,926,3830,0.75822454308094,0.0,0.0,0.028581689812909535,0.028581689812909535,0.3262272621786774,0.3262272621786774,0.33582572899603635,2.7273053602342148,2.7273053602342148,2.7273053602342148,2.7273053602342148,94,10,39,0.3589348026843145,4,16.21406602859497,development,0.0,0.3262272621786774,0.3262272621786774,0,0,1
R24,lhs,64.22675742329598,192.68027226988795,0.75,4.0,0.075,1.0,0.455784229807386,1.1108822240916552,1.9438698202973008,0.7037502440911308,1.6105729657572014,11.890023386279637,19.207615418562852,5.539557827759277,4.094455785735118,1.9438698202973008,1.9438698202973008,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,36,1,0,15,0,291,609,3830,0.8409921671018277,0.0,0.0,0.0049858259697975115,0.0049858259697975115,0.8334905066721984,0.8334905066721984,0.8376669683972751,3.2113378711647993,3.2113378711647993,3.2113378711647993,3.2113378711647993,126,6,62,0.4737446498819601,0,14.637219190597534,development,0.0,0.8334905066721984,0.8334905066721984,0,0,1
V01,fresh_lhs,55.13057390972789,165.39172172918367,0.6482280779644518,1.0,0.09435740417510995,1.1781021880900149,0.5432339950111713,0.6663009061110894,0.9748602243913376,2.8793771608170897,1.7007311555352678,9.735588477785816,11.07510766232376,5.98227452152686,4.421681168085071,0.9748602243913376,0.9748602243913376,1.0,10.0,2.5,0.25,190,2,164,99,10,77,102,46,0,1,20,2,920,1318,3830,0.6558746736292429,0.0,0.008437970411488974,0.004158919160713338,0.010502266884068048,0.599869059078085,0.5960479895285069,0.602374285034034,38.59140173680952,33.07834434583674,49.6175165187551,33.07834434583674,113,8,51,0.4615104497104089,1,11.711501121520996,fresh,0.003759293275238674,0.5910606373590752,0.5932909921962984,1,1,0
V02,fresh_lhs,42.442118973062506,127.32635691918752,0.7068711620199213,4.0,0.061482473945477206,0.44561921073949634,0.6239210676024842,1.2328264741540393,0.7893647674002754,0.5431398960981509,0.8282701057652244,18.712938688949304,15.260552741322117,3.000863445044983,2.2180295028593355,0.7893647674002754,0.7893647674002754,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,32,1,0,15,0,240,526,3830,0.8626631853785901,0.0,0.0,-0.007741139420304805,-0.007741139420304805,1.3367852065116483,1.3367852065116483,1.3265164576694999,2.1221059486531253,2.1221059486531253,2.1221059486531253,2.1221059486531253,157,6,174,0.5007112403468768,0,18.5377197265625,fresh,0.0,1.3367852065116483,1.3367852065116483,0,0,1
V03,fresh_lhs,59.58877356636329,178.76632069908987,0.6730186465520287,4.0,0.07473721531639504,0.7424640106831933,0.5635610132206886,0.9184997864707874,1.3574944076926176,0.4561254927370571,0.5561055395296913,13.238980435705972,13.871264486685282,5.121523850539583,3.785474150398822,1.3574944076926176,1.3574944076926176,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,33,1,0,15,0,265,559,3830,0.8540469973890339,0.0,0.0,0.0044342476864015915,0.0044342476864015915,0.8174518308153209,0.8174518308153209,0.8210927594843856,2.9794386783181643,2.9794386783181643,2.9794386783181643,2.9794386783181643,130,4,53,0.47129448990125444,0,14.716760396957397,fresh,0.0,0.8174518308153209,0.8174518308153209,0,0,1
V04,fresh_lhs,32.598610528859716,97.79583158657914,0.8716277490102732,1.0,0.09745865776092619,0.927339612118801,0.21293336840561408,1.3189681596155711,1.644259307758925,0.25033165970881943,1.0749417963709633,4.967956229002708,24.844167671127234,3.6535693510659435,2.7004643029617843,1.644259307758925,1.644259307758925,1.0,10.0,2.5,0.25,190,0,3,0,0,6,1,39,0,1,20,5,780,1122,3830,0.7070496083550915,0.0,0.019271953488182857,-0.043101359033232575,-0.026273123541293457,1.0980722439867323,1.0803571694650222,1.0526994663341709,3.259861052885972,1.629930526442986,4.889791579328957,1.629930526442986,107,6,63,0.437295033593779,0,14.029847383499146,fresh,0.0,1.059930243118916,1.059930243118916,1,1,0
V05,fresh_lhs,68.43055594026143,205.29166782078428,0.5644743641075931,4.0,0.06396372686560822,2.93059727051036,0.3276964790159966,0.7502909314771677,1.985351061877873,1.2044759433106595,1.9791193595721894,7.544069007090406,20.940072338853422,5.033634397838298,3.7205123810109155,1.985351061877873,1.985351061877873,1.0,10.0,2.5,0.25,190,0,1,11,1,1,1,35,1,0,20,0,441,751,3830,0.8039164490861619,0.0,0.008210574211606605,-0.005786321598992188,-0.005786321598992188,0.5619898955880516,0.5619898955880516,0.5587567493407585,6.8430555940261435,3.4215277970130717,6.8430555940261435,3.4215277970130717,109,4,61,0.4692593793108108,0,12.66093897819519,fresh,0.0009450960875366976,0.5574132130358903,0.5579405204388352,1,1,1
V06,fresh_lhs,42.86632525161223,128.5989757548367,0.8142049297478628,4.0,0.07512838042144475,3.535142843910458,0.4176870901772259,0.9563866332642504,1.1136395226839018,0.37720595059715745,1.4435779901979733,11.808756505918826,22.273499082058866,3.703549229388383,2.737405952156631,1.1136395226839018,1.1136395226839018,1.0,10.0,2.5,0.25,190,0,2,0,0,2,1,37,0,1,20,12,740,1066,3830,0.7216710182767624,0.0,0.015120486232085029,-0.059331666710687354,-0.03185755521238864,1.8483948459064075,1.800456124082865,1.744868867788902,4.286632525161223,2.1433162625806115,4.286632525161223,4.286632525161223,128,6,51,0.4818411323117507,0,17.69819688796997,fresh,0.0,1.7736378572811409,1.7736378572811409,1,0,0
V07,fresh_lhs,77.4292171434216,232.2876514302648,0.8025325272659999,1.0,0.06671116396870376,0.3073060188496421,0.7999493787756173,1.0463309832573318,0.6463231895361681,0.9997150605566538,1.188875324520032,25.104411515635604,8.493884650391792,5.94020218094664,4.390584220699691,0.6463231895361681,0.6463231895361681,1.0,10.0,2.5,0.25,190,0,0,1,0,1,1,34,1,0,15,0,225,527,3830,0.862402088772846,0.0,0.0,0.0021216972824367416,0.002666553131649073,2.618495524956885,2.6170657888868414,2.624062992276541,7.742921714342159,3.87146085717108,3.87146085717108,3.87146085717108,155,6,184,0.6576381486194101,1,18.480541706085205,fresh,0.0005460143263246659,2.6170657888868414,2.618495524956885,1,0,0
V08,fresh_lhs,64.77830798847828,194.33492396543483,0.6169429458631464,4.0,0.0792019769975739,0.5085776298122693,0.7311804664915575,1.3362301812776065,1.3778491596111457,2.3560484743934396,0.9541828730532819,14.857884417687849,7.390471262961564,5.900155568131996,4.360984550358432,1.3778491596111457,1.3778491596111457,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,34,1,0,10,0,236,538,3830,0.8595300261096606,0.0,0.0,-0.0018400527460295422,-0.0018400527460295422,1.6654626292425319,1.6654626292425319,1.6624037187149008,3.238915399423914,3.238915399423914,3.238915399423914,3.238915399423914,137,3,99,0.4819370705024762,0,12.253832340240479,fresh,0.0,1.665462629242532,1.665462629242532,0,0,1
V09,fresh_lhs,54.56590035203533,163.69770105610598,0.770412587111599,4.0,0.05132358465960197,1.7325841752646318,0.47080458387307056,0.6827128650659869,1.203033306480127,1.6165772013143596,0.4439066060860691,18.43616069660819,28.036564177930913,3.220595247181853,2.380439965308326,1.203033306480127,1.203033306480127,1.0,10.0,2.5,0.25,190,0,0,1,0,1,1,34,1,0,20,0,341,643,3830,0.8321148825065274,0.0,0.0,-0.009814381237891225,-0.008418879512253907,0.9833489793371977,0.9819900511786518,0.9737918152163265,5.456590035203533,2.7282950176017664,2.7282950176017664,2.7282950176017664,118,7,83,0.44273001657061867,1,23.231952905654907,fresh,0.0013819388509069502,0.9819900511786518,0.9833489793371976,1,0,0
V10,fresh_lhs,36.98096445662485,110.94289336987454,0.5799228839160672,1.0,0.05614505210457651,1.3328601362122767,0.26753721483495047,1.1767318761069616,1.8580864159390371,0.6364385237983029,1.2751401907587585,7.208856378698025,26.702175765326224,2.3877429027388977,1.7648534498504898,1.8580864159390371,1.8580864159390371,1.0,10.0,2.5,0.25,190,0,0,0,3,0,0,32,0,1,20,5,640,926,3830,0.75822454308094,0.0,0.0,0.059148824116541376,0.059148824116541376,0.4592591005063917,0.4592591005063917,0.48813150504398073,1.8490482228312424,1.8490482228312424,1.8490482228312424,1.8490482228312424,95,5,51,0.4093594944621288,0,14.900743961334229,fresh,0.0,0.4592591005063917,0.4592591005063917,0,0,1
V11,fresh_lhs,72.81549506340781,218.44648519022343,0.7474886456496668,1.0,0.08552282321808652,2.266559731672014,0.6595529275387568,0.8464511912490322,0.6071751924654281,1.3675410280838554,0.2893000796587672,15.038192430036897,10.502060215194964,7.161494718622069,5.293278705068486,0.6071751924654281,0.6071751924654281,1.0,10.0,2.5,0.25,190,0,1,0,0,3,1,36,0,1,20,3,720,1038,3830,0.7289817232375979,0.0,0.01781696087122084,-0.005657913888433022,-0.005657913888433022,1.42848810520277,1.42848810520277,1.4204513139855284,7.281549506340781,3.6407747531703905,7.281549506340781,3.6407747531703905,115,6,161,0.44420787145747626,4,14.472017288208008,fresh,0.0,1.403482315700484,1.403482315700484,1,1,1
V12,fresh_lhs,49.99276017678936,149.97828053036807,0.8556658741591731,1.0,0.09102022522093481,0.3421290539118627,0.35299672575983737,1.0967360530473664,1.5878354832824946,3.4919864102521836,1.7153719353260848,8.656860065210871,21.467185713275413,5.23290513431368,3.8677994471014157,1.5878354832824946,1.5878354832824946,1.0,10.0,2.5,0.25,190,0,3,2,0,3,3,36,1,0,15,0,311,629,3830,0.8357702349869451,0.0,0.0064846640031436895,-0.005949029962227431,-0.005949029962227431,1.1658522865025973,1.1658522865025973,1.158957612938276,7.498914026518404,2.4996380088394683,7.498914026518404,2.4996380088394683,109,6,54,0.4492354291021365,0,13.101934432983398,fresh,0.0,1.1583408353840112,1.1583408353840112,1,1,1
